requirement_id,covered,linked_test_ids
REQ-001,YES,TC-001 TC-002
REQ-002,YES,TC-003 TC-004
REQ-003,YES,TC-005 TC-006 TC-007
REQ-004,YES,TC-008 TC-009
REQ-005,NO,
REQ-006,YES,TC-010 TC-011
REQ-007,YES,TC-012
REQ-008,YES,TC-012 TC-013 TC-014 TC-015
REQ-009,YES,TC-016 TC-017 TC-018
REQ-010,YES,TC-019
REQ-011,YES,TC-020
REQ-012,YES,TC-021 TC-022
REQ-013,YES,TC-023 TC-024
REQ-014,YES,TC-024 TC-025
REQ-015,YES,TC-026 TC-027
REQ-016,YES,TC-028
REQ-017,YES,TC-029
REQ-018,YES,TC-030 TC-031 TC-032
REQ-019,NO,
REQ-020,YES,TC-033
